record_id,entity_type,canonical_entity_name,disease_scope,source_system,source_record_id,source_url,record_title,evidence_role,intervention_or_assay_type,biomarker_family,model_system_or_population,result_direction,off_patent_status,sponsor_type,phase_or_study_design,year,extraction_method,provenance_note
clinicaltrials_gov:NCT00622713,trial,Rivastigmine transdermal patch,alzheimers_disease,clinicaltrials_gov,NCT00622713,https://clinicaltrials.gov/study/NCT00622713,"A 24 Week, Multicenter, Open, Evaluation of the Clinical Effectiveness of the Once-daily 10 cm^2 Rivastigmine Patch Formulation in Patients With Probable Alzheimer's Disease (EXTRA)",trial_registration,small_molecule,not_specified,Alzheimer's Disease,not_yet_known,unknown,industry,PHASE4,2008,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=rivastigmine
clinicaltrials_gov:NCT00766363,trial,EVP-6124 (0.1 mg/day),alzheimers_disease,clinicaltrials_gov,NCT00766363,https://clinicaltrials.gov/study/NCT00766363,"Safety, Tolerability, and Pharmacokinetic Study of EVP-6124 in Patients With Alzheimer's Disease",trial_registration,not_specified,not_specified,Alzheimer's Disease Central Nervous System Diseases,not_yet_known,unknown,industry,PHASE1,2008,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=evp-6124
clinicaltrials_gov:NCT00933608,trial,memantine,alzheimers_disease,clinicaltrials_gov,NCT00933608,https://clinicaltrials.gov/study/NCT00933608,Effects of Memantine on Magnetic Resonance (MR) Spectroscopy in Subjects at Risk for Alzheimer's Disease,trial_registration,small_molecule,not_specified,Alzheimer's Disease,not_yet_known,unknown,academic,PHASE4,2009,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=memantine
clinicaltrials_gov:NCT01409694,trial,Memantine,alzheimers_disease,clinicaltrials_gov,NCT01409694,https://clinicaltrials.gov/study/NCT01409694,Alzheimer's Disease - Input of Vitamin D With mEmantine Assay,trial_registration,small_molecule,not_specified,Alzheimer Disease,not_yet_known,unknown,unknown,PHASE3,2011,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=memantine
clinicaltrials_gov:NCT01434667,trial,APOE genotype and Alzheimer's disease risk disclosure,mild_cognitive_impairment,clinicaltrials_gov,NCT01434667,https://clinicaltrials.gov/study/NCT01434667,Risk Evaluation and Education for Alzheimer's Disease (REVEAL) IV,trial_registration,not_specified,not_specified,Mild Cognitive Impairment,not_yet_known,unknown,academic,NA,2011,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT01481558,trial,Transcranial direct current stimulation,alzheimers_disease,clinicaltrials_gov,NCT01481558,https://clinicaltrials.gov/study/NCT01481558,Effects of Transcranial Direct Current Stimulation on the Apathy of Alzheimer's Disease,trial_registration,device_or_stimulation,not_specified,Apathy Alzheimer's Disease,not_yet_known,unknown,academic,PHASE2,2011,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=tdcs
clinicaltrials_gov:NCT01723553,trial,C-11 PiB,alzheimers_disease,clinicaltrials_gov,NCT01723553,https://clinicaltrials.gov/study/NCT01723553,Amyloid-related Imaging Abnormalities (Microbleeds) in Atypical AD,trial_registration,biomarker_or_assay,amyloid,Atypical Alzheimers Disease Logopenic Variant of Primary Progressive Aphasia (LPA) Posterior Cortical Atrophy (PCA),not_yet_known,unknown,academic,PHASE1,2012,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT01969123,trial,Drug: EVP-6124,alzheimers_disease,clinicaltrials_gov,NCT01969123,https://clinicaltrials.gov/study/NCT01969123,Study of the Safety and Effectiveness of Two Doses of Investigational Study Drug EVP-6124 in Subjects With Alzheimer's Disease,trial_registration,small_molecule,not_specified,Alzheimer's Disease Dementia,not_yet_known,unknown,industry,PHASE3,2013,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=evp-6124
clinicaltrials_gov:NCT02051244,trial,Measurement of Retinal Nerve Fiber Layer Thickness - a Biomarker for the Early Detection of Alzheimer's Disease?,alzheimers_disease,clinicaltrials_gov,NCT02051244,https://clinicaltrials.gov/study/NCT02051244,Measurement of Retinal Nerve Fiber Layer Thickness - a Biomarker for the Early Detection of Alzheimer's Disease?,trial_registration,biomarker_or_assay,not_specified,Alzheimer's Disease,not_yet_known,unknown,academic,OBSERVATIONAL,2014,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT02063269,trial,Rivastigmine,alzheimers_disease,clinicaltrials_gov,NCT02063269,https://clinicaltrials.gov/study/NCT02063269,Brain Changes by Rivastigmine According to Butyrylcholinesterase Alleles,trial_registration,small_molecule,molecular_imaging,Alzheimer's Disease,not_yet_known,unknown,academic,NA,2014,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=rivastigmine
clinicaltrials_gov:NCT02227953,trial,Yband (YDT-201N),alzheimers_disease,clinicaltrials_gov,NCT02227953,https://clinicaltrials.gov/study/NCT02227953,A Pilot Study of tDCS for Mild to Moderate Alzhemier's Disease,trial_registration,device_or_stimulation,not_specified,Alzheimer's Disease,not_yet_known,unknown,academic,NA,2014,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=tdcs
clinicaltrials_gov:NCT02246075,trial,EVP-6124,alzheimers_disease,clinicaltrials_gov,NCT02246075,https://clinicaltrials.gov/study/NCT02246075,Study of the Safety of Two Doses of Investigational Study Drug EVP-6124 in Subjects With Alzheimer's Disease Currently Receiving Memantine,trial_registration,small_molecule,not_specified,Alzheimer's Disease Dementia Cognition,not_yet_known,unknown,industry,PHASE2,2014,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT02444637,trial,Rivastigmine,alzheimers_disease,clinicaltrials_gov,NCT02444637,https://clinicaltrials.gov/study/NCT02444637,Open Label Trial of Rivastigmine Patch in Subjects With Mild to Moderate Stage AD Having Coexisting svCVD,trial_registration,small_molecule,not_specified,Alzheimer Disease CVA (Cerebrovascular Accident),not_yet_known,unknown,academic,PHASE4,2015,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT02670993,trial,Singing sessions.,alzheimers_disease,clinicaltrials_gov,NCT02670993,https://clinicaltrials.gov/study/NCT02670993,Support by Singing Sessions on Physical and Moral Pain : Assessment of Its Effectiveness in Alzheimer's Disease,trial_registration,behavioral_or_lifestyle,not_specified,Alzheimer's Disease,not_yet_known,unknown,academic,NA,2016,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=singing
clinicaltrials_gov:NCT02958930,trial,MemorEM 1000,alzheimers_disease,clinicaltrials_gov,NCT02958930,https://clinicaltrials.gov/study/NCT02958930,Safety and Efficacy of Transcranial Electromagnetic Treatment Against Alzheimer's Disease,trial_registration,device_or_stimulation,not_specified,"Alzheimer Disease Alzheimer Disease, Late Onset",not_yet_known,unknown,industry,NA,2016,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=temt
clinicaltrials_gov:NCT03030365,trial,"Siemens ""Biograph mMR"" PET-MR (3T)",mild_cognitive_impairment,clinicaltrials_gov,NCT03030365,https://clinicaltrials.gov/study/NCT03030365,Orientation in AD Patients: PET-MR Study,trial_registration,biomarker_or_assay,molecular_imaging,Alzheimer Disease Mild Cognitive Impairment,not_yet_known,unknown,academic,OBSERVATIONAL,2017,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT03333837,trial,Dance Group,mild_cognitive_impairment,clinicaltrials_gov,NCT03333837,https://clinicaltrials.gov/study/NCT03333837,Improvisational Movement for People With Memory Loss and Their Caregivers,trial_registration,behavioral_or_lifestyle,not_specified,Alzheimer's Disease (Incl Subtypes) Dementia Mild Cognitive Impairment,not_yet_known,unknown,academic,NA,2017,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT03643003,trial,Music therapy,alzheimers_disease,clinicaltrials_gov,NCT03643003,https://clinicaltrials.gov/study/NCT03643003,Music Therapy for Persons With Dementia,trial_registration,behavioral_or_lifestyle,not_specified,Quality of Life Social Interaction Emotions Mood Feelings Alzheimer Disease Dementia,not_yet_known,unknown,academic,NA,2018,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=music therapy
clinicaltrials_gov:NCT04271163,trial,MemorEM,alzheimers_disease,clinicaltrials_gov,NCT04271163,https://clinicaltrials.gov/study/NCT04271163,Transcranial Electromagnetic Treatment (TEMT) Against Alzheimer's Disease,trial_registration,device_or_stimulation,not_specified,Alzheimer's Disease,not_yet_known,unknown,industry,PHASE1 / PHASE2,2020,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT04666077,trial,"Home-based MT through Supervised, Supported Singing (H3S)",mild_cognitive_impairment,clinicaltrials_gov,NCT04666077,https://clinicaltrials.gov/study/NCT04666077,Music Therapy Experiences in Patients With Mild Cognitive Impairment (MCI) and Alzheimer's Disease (AD),trial_registration,behavioral_or_lifestyle,not_specified,Alzheimer's Disease Mild Cognitive Impairment,not_yet_known,unknown,academic,NA,2020,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT05507905,trial,Music,alzheimers_disease,clinicaltrials_gov,NCT05507905,https://clinicaltrials.gov/study/NCT05507905,Effects of Dance and Music Appreciation on Brain Health and Fitness in People at Risk for Alzheimer's Disease,trial_registration,behavioral_or_lifestyle,not_specified,Alzheimer Disease,not_yet_known,unknown,academic,NA,2022,api_structured,ClinicalTrials.gov v2 targeted intervention query using query.cond=Alzheimer Disease; query.term=dance group
clinicaltrials_gov:NCT05649514,trial,Polysomnography,alzheimers_disease,clinicaltrials_gov,NCT05649514,https://clinicaltrials.gov/study/NCT05649514,Sleep Impairment in Subjects at Risk of Developing Alzheimer's Disease,trial_registration,behavioral_or_lifestyle,not_specified,Neuropathology Cognitive Decline Sleep Disorder,not_yet_known,unknown,academic,NA,2022,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
clinicaltrials_gov:NCT05971030,trial,Cortical brain stimulation of mPFC and dlPFC,alzheimers_disease,clinicaltrials_gov,NCT05971030,https://clinicaltrials.gov/study/NCT05971030,Clinical Exploratory Research of Medial Prefrontal Cortex Combined With Dorsolateral Prefrontal Cortex Electrical Stimulation in the Treatment of Alzheimer's Disease,trial_registration,device_or_stimulation,not_specified,Alzheimer Disease Electric Stimulation Therapy,not_yet_known,unknown,academic,NA,2023,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
nih_reporter:1R01AG091310-01A1:2026,grant,CoMTAD: Cognitive Monitoring during Treatment for Alzheimer disease,alzheimers_disease,nih_reporter,1R01AG091310-01A1,https://reporter.nih.gov/project-details/11223475,CoMTAD: Cognitive Monitoring during Treatment for Alzheimer disease,grant_record,behavioral_or_lifestyle,amyloid,UNIVERSITY OF KANSAS MEDICAL CENTER,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=UNIVERSITY OF KANSAS MEDICAL CENTER; agency_ic=National Institute on Aging
nih_reporter:1R01AG095248-01:2026,grant,"A fiber implant for long-term, deep-brain imaging and manipulation in mouse models of Alzheimer disease",alzheimers_disease,nih_reporter,1R01AG095248-01,https://reporter.nih.gov/project-details/11207392,"A fiber implant for long-term, deep-brain imaging and manipulation in mouse models of Alzheimer disease",grant_record,biomarker_or_assay,amyloid,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:1R01AG096172-01:2026,grant,Alzheimer Disease Genetic Analysis to Identify Potential Therapeutic Targets (ADAPTT),alzheimers_disease,nih_reporter,1R01AG096172-01,https://reporter.nih.gov/project-details/11224105,Alzheimer Disease Genetic Analysis to Identify Potential Therapeutic Targets (ADAPTT),grant_record,biomarker_or_assay,not_specified,CASE WESTERN RESERVE UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=CASE WESTERN RESERVE UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:4R01AG082030-02:2026,grant,Deep-Learning-Augmented Quantitative Gradient Recalled Echo (DLA-qGRE) MRI for in vivo Clinical Evaluation of Brain Microstructural Neurodegeneration in Alzheimer Disease,alzheimers_disease,nih_reporter,4R01AG082030-02,https://reporter.nih.gov/project-details/11456934,Deep-Learning-Augmented Quantitative Gradient Recalled Echo (DLA-qGRE) MRI for in vivo Clinical Evaluation of Brain Microstructural Neurodegeneration in Alzheimer Disease,grant_record,biomarker_or_assay,amyloid,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:5K01AG080123-04:2026,grant,Evaluation of the neurovascular unit in the setting of pathogenesis and treatment of autosomal dominant Alzheimer disease,alzheimers_disease,nih_reporter,5K01AG080123-04,https://reporter.nih.gov/project-details/11262301,Evaluation of the neurovascular unit in the setting of pathogenesis and treatment of autosomal dominant Alzheimer disease,grant_record,biomarker_or_assay,amyloid,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:5P30AG066444-07:2026,grant,Alzheimer's Disease Research Center,alzheimers_disease,nih_reporter,5P30AG066444-07,https://reporter.nih.gov/project-details/11382424,Alzheimer's Disease Research Center,grant_record,biomarker_or_assay,molecular_imaging,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:5R01AG082135-04:2026,grant,Sex-specific regulation of microRNAs in Alzheimer Disease,alzheimers_disease,nih_reporter,5R01AG082135-04,https://reporter.nih.gov/project-details/11242036,Sex-specific regulation of microRNAs in Alzheimer Disease,grant_record,not_specified,not_specified,LOYOLA UNIVERSITY CHICAGO,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=LOYOLA UNIVERSITY CHICAGO; agency_ic=National Institute on Aging
nih_reporter:5R01DC014942-09:2026,grant,The neurobiology of two distinct subtypes of neurodegenerative apraxia of speech: phenotypes of Alzheimer disease related 4-repeat tauopathies,alzheimers_disease,nih_reporter,5R01DC014942-09,https://reporter.nih.gov/project-details/11305994,The neurobiology of two distinct subtypes of neurodegenerative apraxia of speech: phenotypes of Alzheimer disease related 4-repeat tauopathies,grant_record,biomarker_or_assay,tau,MAYO CLINIC ROCHESTER,not_yet_known,not_applicable,unknown,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=MAYO CLINIC ROCHESTER; agency_ic=National Institute on Deafness and Other Communication Disorders
openfda:event:brexpiprazole:death,regulatory_signal,Brexpiprazole,alzheimers_disease,openfda,brexpiprazole:death,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22brexpiprazole%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Brexpiprazole adverse-event signal: DEATH,adverse_event_signal,not_specified,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""brexpiprazole""; top_reaction=DEATH; count=265"
openfda:event:brexpiprazole:drug_ineffective,regulatory_signal,Brexpiprazole,alzheimers_disease,openfda,brexpiprazole:drug_ineffective,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22brexpiprazole%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Brexpiprazole adverse-event signal: DRUG INEFFECTIVE,adverse_event_signal,not_specified,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""brexpiprazole""; top_reaction=DRUG INEFFECTIVE; count=247"
openfda:event:donanemab:chills,regulatory_signal,Donanemab,mild_cognitive_impairment,openfda,donanemab:chills,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22donanemab%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Donanemab adverse-event signal: CHILLS,adverse_event_signal,monoclonal_antibody,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""donanemab""; top_reaction=CHILLS; count=6"
openfda:event:donanemab:infusion_related_reaction,regulatory_signal,Donanemab,mild_cognitive_impairment,openfda,donanemab:infusion_related_reaction,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22donanemab%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Donanemab adverse-event signal: INFUSION RELATED REACTION,adverse_event_signal,monoclonal_antibody,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""donanemab""; top_reaction=INFUSION RELATED REACTION; count=9"
openfda:event:donepezil:death,regulatory_signal,Donepezil,alzheimers_disease,openfda,donepezil:death,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22donepezil%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Donepezil adverse-event signal: DEATH,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""donepezil""; top_reaction=DEATH; count=1536"
